"productName","basePrice","offerPrice"
"سيراليون استيك","295","286"
"بيف بيكون مدخن","155",""
"قطع زيتون","149",""
"فخدة ضانى","604","598"
"كبدة صافى","325",""
"سمبوسة   لحم","140",""
"مخاصى فريش","150","120"
"small rings pasta -400g","28",""
"بطاطس كروكيت لحم","95","93.1"
"مخ","380",""
"فشة","285",""
"دجاج بلدى","215",""
"ريش ضانى استرالى
""صولو ""","1242","1180"
"قطع توت","149",""
"سمانة","570","564"
"Lasagna - 400g","30",""
"حمام كداب","225","213.75"
"افخاد دجاج متبلة","170","161.5"
"أوراك دجاج متبلة","170","161.5"
"ريب اى","295","289"
"قطع جزورينة","149",""
"شاورما لحم فريش","300","295"
"موزة","280",""
"كفتة فراخ","115","103.5"
"لحمة راس","315",""
"وينجز كنتاكي","170","161.5"
"شيش طاووق صدور متبلة","290","275.5"
"سبرنج رول جبنة","120","117.6"
"قطايف جبن","116","113.68"
"كبد وقوانص","65",""
"بيكاتا","285","282"
"French Fries -1kg","88",""
"كفتة أرز","167","162"
"مزاليكا","180",""
"كبدة مشكل","263",""
"رقبة ضانى","580","568"
"دجاج بلدى متبل","227","215.65"
"تشيكن رول","300","285"
"بيض بالكرتونه","135",""
"عرق فلتو","730","715"
"كفتة لحم بانيه","185","148"
"بي سكريتس - عسل سدر","300",""
"ستربس","265","251.75"
"بي سكريتس - عسل موالح","75",""
"بانيه فريش","295","286"
"كفتة ضانى","215","213"
"فيليه دجاج بالمستردة و العسل","160","156.8"
"ديك رومى بلدي","355",""
"مايونيز هاينز 
(310GM)","108",""
"قطع جوافة","154",""
"عرق رستو","635","603.25"
"ريش ضانى سولو","535.3",""
"ربش ضاني مع بيت كلاوي او دوش ش","651.45",""
"كفتة داوود باشا","210","201.6"
"حواوشى رغيف","235","233"
"بي سكريتس - عسل زعتر","165",""
"منديل ضانى","500",""
"كولاتة","570",""
"ممبار كندوز بوبس","105.2","99.94"
"بانيه متبل شوي","290","275.5"
"لحم كندوز خضار","245",""
"كوردن بلو","190","180.5"
"حمام","285",""
"دجاج أبيض مسحب متبل","290","275.5"
"ممبار كندوز محشى","105","99.94"
"دبابيس فريش","140",""
"كباب حلة أحمر خفيف دسم","275","272"
"فوريبس","535","519"
"شاورما فراخ متبلة","150","147"
"دوش ضانى","555.5","528"
"تشيكن كرسبى","265","251.75"
"طحال","320",""
"ستريبلوين استيك","335",""
"لحم مفروم برازيلى","192.5","187"
"كبيبة","140","134"
"دجاج ابيض","165","161.7"
"فلفل أخضر","9",""
"فلانك ستيك","415",""
"فيليه دجاج ماسالا","160","156.8"
"كولاچين طبيعي","264","211"
"كباب حلة احمر  بدون دسم","290",""
"سمان","180",""
"توماهوك","415","403"
"Penne Pasta - 400g","28",""
"لحم سن","250",""
"بي سكريتس - عسل اليانسون","100",""
"بط أبيض","280",""
"أرانب","255",""
"بطاطس","85",""
"فراخ برازيلى مجمدة (سيارا)","250",""
"سجق لحم","209",""
"عرق فلتو صولو","915",""
"قطع خوخ","149",""
"دبابيس كنتاكي","170","161.5"
"لسان صولو","450",""
"وجبة حراسة","140",""
"وش فخدة","570","564"
"اجنحة فريش","105",""
"كاتشب هاينز 
(295GM)","62",""
"قطع برتقال","135",""
"حمام محشى","360","342"
"بي سكريتس - عسل زهور برية","570",""
"بي سكريتس - عسل بردقوش","100",""
"دبابيس دجاج متبلة","170","161.5"
"بانيه متبل تحمير","250","237.5"
"Rice Al Doha (1Kg)","48",""
"بفتيك","285",""
"باكدج مقبلات","540","523.8"
"ممبار ضاني","272.7",""
"دجاج أبيض متبل","210","199.5"
"فيليه دجاج الباربيكو","160","156.8"
"كباب حلة أحمر خفيف  دسم","275","272"
"بي سكريتس - عسل الحبة السوداء","80",""
"مخاصي متبل","150",""
"ماسورة","90","72"
"لحم مفروم أحمر  بدون دسم","290",""
"قطع تفاح","171",""
"تندر لوين ستيك","460","437"
"سكيرت ستيك","415",""
"كوارع","500.5","475"
"برجر لحم","226","214"
"نص خروف ضانى استرالى","4031","3628"
"بسلة","50",""
"قطايف لحم","94.5","92.61"
"برجر فراخ","115","109.25"
"لحم مفروم دسم وسط","245",""
"بريسكت","500","494.99"
"كتف ضانى","577.5","572"
"دجاج ابيض مسحب","240",""
"شيش طاووق صدور فريش","260",""
"Black Eyes Peas - 500gm","125",""
"باربكيو هاينز 
(200GM)","59",""
"نخاع","126","101"
"شاورما لحم متبلة","210","204"
"ثلج جورميه مكعبات","85",""
"محشى ورق عنب بالمفروم","105","100"
"سمبوسة جبنة","110",""
"ديك رومى أبيض","320",""
"كبد دجاج صافى","70",""
"شيش طاووق أوراك فريش","215",""
"Green Okra - 400gm","62",""
"Molokhia - 400gm","22",""
"شورت ريبس","500","490"
"بطاطس كروكيت جبنة","85","83.3"
"كبده امريكانى","155","150.35"
"صدور دجاج بالعضم متبلة","230","218.5"
"مشروم A.M.R
(425GM)","92",""
"ممبار بدون حشو","276",""
"بفتيك متبل","554","543"
"سمبوسة فراخ","130",""
"رقائق تفاح","182",""
"قلب وكلاوى","257",""
"شيش طاووق أوراك متبل","260","247"
"كرشة","200",""
"بي سكريتس - عسل زهرة البرسيم","100",""
"Tomato Puree 320g","62",""
"كفتة فراخ مودزريلا","115","109.25"
"سجق مغربى","221.45",""
"مانجو","27",""
"سبرنج رول فراخ","130","127.4"
"طرب","255","247"
"كبدة برازيلي","85",""
"كفتة الحاتي","205","203"
"أوسوبوكو","260","255"
"محشي ورق عنب","100","95"
"كبدة ضانى","624",""
"شيش كباب متبل","284","281"
"سجق دجاج","115","109.25"
"صدور دجاج بالعضم فريش","190",""
"سبايدر ستيك","295",""
"فيليه دجاج تندوري","160","156.8"
"انتركوت","295","280"
"تى بون","415","394"
"أوراك دجاج فريش","140",""
"ناجتس","260","251.75"
"دوش","500",""
"لحم جملي","252",""
"حواوشي فراخ","115","109.25"
"Green Peas - 400gm","68",""
"بط بلدى","295",""
"فلفل أحمر","15",""
"مسطرده هاينز 
(235GM)","50",""
"عكاوى","555","549"
"كباب حلة احمر بدون دسم","290",""
"بسطرمة","30",""
"فيليه دجاج الزعتر","160","156.8"
"Oil - Corn plus - 800ml","97",""
"سجق ايطالى","221.45",""
"لية ضانى","181.8","176"
"أجنحة دجاج متبل","130","117"
"سبرنج رول لحم","140","137.2"
"لحم مفروم دسم قليل","265",""
"محشي كرنب","90","82.8"
