id,name,sortOrder,isActive,createdAt,updatedAt
cat_1781175439117_72smw0,اخشاب شوي,13,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_74a5ag,بيض,12,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_8gl41m,عسل,11,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_b2hhfq,مقبلات وأصناف جانبية,9,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_ezyn1f,خضروات مجمدة,15,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_fp72tz,وجبات للحيوانات الأليفة,10,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_gsj59t,دواجن فريش,6,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_h3eh51,دواجن فريش متبلة على التسوية,8,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_h8kszc,لحم فريش,1,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_l4u5ut,البقالة,14,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_m48wty,لحم ضاني,4,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_totvlp,لحوم لذيذة,2,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_vub0g3,لحم فريش متبل على التسوية,3,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_w717ii,قطعيات بلاد مختلفة,5,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00
cat_1781175439117_zif16p,دواجن لذيذة,7,true,2026-06-11 10:57:19.117+00,2026-06-11 12:09:20.064+00